Pais,Anho,Npatente,max,media,dif
DE,1997,5638153,1,1.0,0.0
DE,1997,5646856,1,1.0,0.0
DE,1998,5728194,1,1.0,0.0
DK,1969,3451949,1,1.0,0.0
DK,1971,3603698,1,1.0,0.0
DK,1972,3673291,1,1.0,0.0
DK,1973,3719796,1,1.0,0.0
DK,1974,3838331,1,1.0,0.0
DK,1979,4139150,1,1.0,0.0
DK,1986,4563769,1,1.0,0.0
DK,1988,4791974,1,1.0,0.0
DK,1988,4754589,1,1.0,0.0
DK,1991,5064419,1,1.0,0.0
DK,1991,5062346,1,1.0,0.0
DZ,1970,3550376,1,1.0,0.0
ES,1976,3982002,1,1.0,0.0
ES,1977,4003165,1,1.0,0.0
ES,1994,5368732,1,1.0,0.0
ET,1970,3512825,1,1.0,0.0
FI,1972,3649449,1,1.0,0.0
FI,1973,3721391,1,1.0,0.0
FI,1975,3892437,1,1.0,0.0
FI,1977,4025356,1,1.0,0.0
FI,1977,4014740,1,1.0,0.0
FI,1979,4154645,1,1.0,0.0
FI,1982,4311670,1,1.0,0.0
FI,1986,4573504,1,1.0,0.0
FI,1987,4668218,1,1.0,0.0
FI,1987,4687571,1,1.0,0.0
FI,1989,4856531,1,1.0,0.0
FI,1991,5006667,1,1.0,0.0
FI,1991,4990383,1,1.0,0.0
FI,1992,5171542,1,1.0,0.0
FI,1993,5189632,1,1.0,0.0
FI,1996,5524009,1,1.0,0.0
FI,1996,5483668,1,1.0,0.0
FI,1998,5734687,1,1.0,0.0
FR,1963,3087028,1,1.0,0.0
FR,1964,3154455,1,1.0,0.0
FR,1965,3193498,1,1.0,0.0
FR,1965,3175771,1,1.0,0.0
